195.211.77.140 - - [29/Dec/2022:14:49:15 +1300] "GET / HTTP/1.1" 500 5 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2851.0 Safari/537.36"
89.45.90.24 - - [29/Dec/2022:14:49:19 +1300] "GET / HTTP/1.1" 500 5 "-" "python-requests/2.25.1"
39.110.218.101 - - [29/Dec/2022:14:49:20 +1300] "GET / HTTP/1.1" 500 5 "-" "Mozilla/5.0 (Linux; U; Android 2.2; ja-jp; SC-02B Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
179.43.177.154 - - [29/Dec/2022:14:49:23 +1300] "GET /.hg/requires HTTP/1.1" 500 5 "-" "Mozilla/5.0 (X11; Linux i686; rv:14.0) Gecko/20100101 Firefox/14.0.1 Iceweasel/14.0.1"
222.155.0.209 - - [29/Dec/2022:15:10:51 +1300] "GET /%7B%7Basset('admin/assets/js/custom/authentication/sign-in/general.js HTTP/2.0" 404 2088 "https://padis.thinknew.nz/admin/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:10:51 +1300] "GET /admin/assets/media/auth/bg4.jpg HTTP/2.0" 200 60336 "https://padis.thinknew.nz/admin/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:10:51 +1300] "GET /%7B%7Basset('admin/assets/js/custom/authentication/sign-in/general.js HTTP/2.0" 404 2088 "https://padis.thinknew.nz/admin/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:10:51 +1300] "GET /admin/assets/media/logos/favicon.ico HTTP/2.0" 200 18278 "https://padis.thinknew.nz/admin/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:10:51 +1300] "GET /admin/assets/media/logos/favicon.ico HTTP/2.0" 200 18278 "https://padis.thinknew.nz/admin/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:02 +1300] "POST /admin/login/user HTTP/2.0" 302 410 "https://padis.thinknew.nz/admin/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:02 +1300] "GET /admin/dashboard HTTP/2.0" 200 80958 "https://padis.thinknew.nz/admin/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/plugins/custom/fullcalendar/fullcalendar.bundle.css HTTP/2.0" 200 6351 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/plugins/custom/datatables/datatables.bundle.css HTTP/2.0" 200 6571 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/plugins/global/plugins.bundle.css HTTP/2.0" 200 94376 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/css/style.bundle.css HTTP/2.0" 200 137876 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/logos/default-small.svg HTTP/2.0" 200 2377 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/stock/600x600/img-82.jpg HTTP/2.0" 200 19901 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/stock/900x600/46.jpg HTTP/2.0" 200 34546 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/stock/600x600/img-84.jpg HTTP/2.0" 200 121019 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/stock/900x600/44.jpg HTTP/2.0" 200 14029 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/stock/900x600/45.jpg HTTP/2.0" 200 53339 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/avatars/300-6.jpg HTTP/2.0" 200 59007 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/avatars/300-2.jpg HTTP/2.0" 200 61584 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/avatars/300-9.jpg HTTP/2.0" 200 110349 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/svg/brand-logos/volicity-9.svg HTTP/2.0" 200 1964 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/svg/brand-logos/tvit.svg HTTP/2.0" 200 1830 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/svg/misc/infography.svg HTTP/2.0" 200 1606 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/svg/brand-logos/leaf.svg HTTP/2.0" 200 1943 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/svg/brand-logos/tower.svg HTTP/2.0" 200 568 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
222.155.0.209 - - [29/Dec/2022:15:11:03 +1300] "GET /admin/assets/media/illustrations/sketchy-1/1.png HTTP/2.0" 200 11821 "https://padis.thinknew.nz/admin/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:108.0) Gecko/20100101 Firefox/108.0"
